search_list,recall,total_comparisons
100,99.845600,134449646
120,99.904000,152712080
140,99.933800,170023665
160,99.952700,186551416
180,99.963500,202397711
200,99.969500,217640270
220,99.973500,232365355
240,99.975900,246615663
260,99.977600,260458156
280,99.979000,273924469
300,99.980300,287047742
