search_list,recall,total_comparisons
100,99.636100,86194218
120,99.772600,98242903
140,99.846700,109725000
160,99.888800,120736049
180,99.917600,131328527
200,99.935800,141563165
220,99.948900,151470694
240,99.958100,161088320
260,99.965500,170455371
280,99.969200,179589567
300,99.972500,188506965
