search_list,recall,total_comparisons
100,99.915000,178778386
120,99.946600,202521645
140,99.961000,224966399
160,99.969000,246302378
180,99.975500,266731498
200,99.980500,286346421
220,99.982500,305249040
240,99.984500,323516116
260,99.986000,341218281
280,99.986500,358393677
300,99.987100,375101780
