search_list,recall,total_comparisons
100,99.950700,240751918
120,99.967300,271877383
140,99.975600,301190508
160,99.980700,328998019
180,99.982400,355493064
200,99.984200,380876148
220,99.985100,405291506
240,99.985500,428795206
260,99.986400,451548727
280,99.986700,473602705
300,99.986900,494981586
