search_list,recall,total_comparisons
100,97.931700,31692909
120,98.597900,36348890
140,99.016100,40830979
160,99.277200,45166737
180,99.449300,49359066
200,99.573600,53444762
220,99.662100,57422243
240,99.734700,61310357
260,99.777800,65111404
280,99.817900,68828820
300,99.851700,72477736
320,99.877200,76060939
340,99.894400,79581592
360,99.909700,83034534
380,99.922600,86437210
400,99.933000,89786862
