search_list,recall,total_comparisons
100,95.501000,11284924
150,97.600000,15359007
200,98.514000,19068116
250,98.983000,22508312
300,99.248000,25736790
350,99.410000,28799050
400,99.536000,31715247
450,99.618000,34502724
500,99.667000,37181619
550,99.724000,39763932
600,99.762000,42266702
