search_list,recall,total_comparisons
40,95.331000,16386323
50,96.679000,19169378
80,98.446000,26785343
100,98.961000,31388841
120,99.277000,35695776
140,99.465000,39756625
160,99.578000,43626611
180,99.681000,47314046
200,99.735000,50852375
220,99.773000,54247449
240,99.807000,57526319
260,99.835000,60694437
280,99.851000,63766620
300,99.863000,66750372
