search_list,recall,total_comparisons
40,93.352000,12056408
50,95.152000,14129697
80,97.696000,19871915
100,98.435000,23371840
120,98.844000,26665892
140,99.107000,29785446
160,99.272000,32760290
180,99.416000,35611130
200,99.506000,38354075
220,99.585000,41005451
240,99.649000,43567304
260,99.685000,46050930
280,99.722000,48462536
300,99.747000,50808844
