search_list,recall,total_comparisons
100,97.513000,17578241
150,98.701000,23687302
200,99.186000,29202230
250,99.448000,34264756
300,99.589000,38990995
350,99.681000,43431717
400,99.749000,47641792
450,99.793000,51654961
500,99.826000,55488271
550,99.849000,59176550
600,99.868000,62729180
